sqft,beds,price
1680,6,511000
702,1,136000
876,2,270000
2548,6,658000
525,1,149000
875,3,234000
1018,3,312000
1810,5,514000
1042,2,389000
1516,4,447000
978,2,283000
2031,6,620000
2841,6,698000
324,1,100000
2326,5,592000
2275,6,565000
1622,3,424000
1012,2,198000
1956,6,600000
1668,4,553000
1948,6,641000
1163,3,362000
1225,3,342000
2375,6,584000
1415,5,389000
962,3,233000
2279,6,760000
2507,6,605000
878,2,278000
1350,3,336000
683,1,144000
1707,6,363000
1692,5,485000
2227,5,536000
494,1,133000
472,1,110000
411,1,97000
1231,3,418000
1400,5,417000
563,1,122000
1144,4,332000
1508,4,507000
2847,6,691000
2467,5,486000
1783,4,408000
568,2,166000
1861,5,559000
2237,5,572000
1068,3,290000
1363,3,296000
543,1,133000
501,1,124000
1488,3,312000
1724,6,505000
782,2,228000
2160,6,685000
628,1,189000
960,2,228000
1317,5,366000
1484,5,410000
1049,3,338000
626,1,206000
703,2,273000
465,1,151000
2014,6,496000
483,1,116000
626,2,189000
589,1,153000
1684,5,406000
832,3,267000
1881,4,422000
654,1,137000
2734,6,702000
1387,3,433000
1854,5,504000
908,2,292000
1339,3,412000
2189,5,575000
1838,4,560000
1722,5,608000
675,2,145000
578,1,197000
1708,4,395000
666,1,162000
1333,4,356000
1951,4,730000
1882,4,522000
1123,2,323000
1604,3,426000
2058,6,523000
694,2,173000
1585,4,436000
1695,4,596000
1979,5,435000
1827,4,607000
1331,3,289000
1824,4,666000
1481,5,437000
1372,4,317000
1504,4,500000
1297,4,359000
956,3,337000
612,2,184000
505,1,132000
2083,5,631000
1439,5,460000
1838,6,566000
2836,6,882000
2271,5,572000
2249,5,473000
1603,4,518000
2189,6,750000
1755,5,574000
1485,4,438000
1425,4,387000
1347,3,370000
1076,2,310000
2843,6,715000
1832,4,466000
1907,5,666000
1432,4,328000
714,1,228000
2379,6,790000
924,3,233000
2380,6,643000
1943,6,411000
1622,4,394000
1149,4,313000
364,1,117000
845,2,285000
1163,2,299000
1951,5,590000
551,1,147000
870,2,180000
1999,5,411000
1191,4,447000
2017,6,433000
894,3,224000
1839,5,458000
1410,3,350000
1917,4,516000
2682,6,986000
1211,3,378000
1376,4,517000
548,1,132000
878,2,285000
1527,5,327000
1524,4,466000
949,2,278000
438,1,130000
2306,6,542000
1899,6,538000
428,1,134000
1279,3,344000
1638,4,459000
675,2,225000
1591,5,412000
2326,6,629000
1963,5,755000
988,2,226000
2421,6,696000
770,2,186000
413,1,122000
1747,4,387000
2338,5,765000
1897,5,600000
1330,5,351000
928,2,246000
448,1,132000
508,1,128000
2212,5,524000
2243,5,607000
2125,6,531000
1548,3,344000
1847,5,560000
1546,4,393000
1961,6,690000
2150,5,785000
1461,3,433000
1640,5,546000
1103,3,316000
1211,3,278000
1411,3,469000
1473,4,452000
1049,2,358000
1147,4,356000
2201,6,595000
2095,6,500000
1562,5,503000
2183,6,534000
1165,4,300000
1539,3,394000
1718,4,611000
963,3,232000
1013,3,311000
1377,4,538000
527,1,145000
1000,3,338000
1815,5,460000
805,2,232000
